academic_level,university_name,used_platform,no_platform_understanding,no_platform_analytical_thinking,no_platform_skills_confidence,course,platform,platform_uni_understanding,platform_understanding,platform_analytical_thinking,platform_skills_confidence,platform_course_completed,no_paltform_lecture_sufficient,no_paltform_trust_uni_content,no_paltform_prefer_structured_learning,no_paltform_lack_platform_awareness,no_paltform_lack_time_or_motivation,others_review_topics,others_learn_atOwnPace,others_practice_exercises,others_follow_upToDate_content,others_certificate_internship,is_programming_course,is_computer_science_course,is_mathematics_course,is_statistics_course,is_data_science_course,incomplete_busy,incomplete_lost_motivation,incomplete_course_difficulty,incomplete_unstructured_learning,incomplete_better_resources,platform_review_topics,platform_learn_atOwnPace,platform_practice_exercises,platform_upToDate_content,platform_certificate_internship
Undergraduate,Public,1,,,,Python,YouTube,3,5,5,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
Undergraduate,Public,1,,,,"DSA, R, Python","YouTube, DataCamp",3,5,3,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
Postgraguate,Public,1,,,,,"YouTube, Coursera",2,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Postgraguate,Public,1,,,,,YouTube,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
Postgraguate,Public,1,,,,"Data Science, Data Analysis","DataCamp, Coursera",3,5,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
Postgraguate,Private,1,,,,,DataCamp,4,5,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Postgraguate,Public,1,,,,Python,IBM,4,5,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Undergraduate,Public,1,,,,OOP,Zaker,1,3,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Postgraguate,Public,1,,,,,YouTube,3,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Undergraduate,Public,1,,,,,"W3School, Coursera ",3,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1
