Timestamp,major,academic_level,university_name,used_platform,no_platform_usage,no_platform_understanding,no_platform_analytical_thinking,no_platform_skills_confidence,no_platform_others_reason_usage,Comment1,course,,platform,used_course_platform,platform_uni_understanding,platform_understanding,platform_analytical_thinking,platform_skills_confidence,platform_course_completed,incomplete_reason,platform_usage_reason,recommendation,Comment2
2025/11/13 2:15:00 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Python,,YouTube,"Python, YouTube ",3,5,5,4,Yes,,University courses are too theoretical;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills;I don't understand it from my doctor's/professor's explanation,"freeCodeCamp, Python for Beginners, YouTube ",I was concerned I might not have enough grasp of the python course taught at my university so I learned from programmers on YouTube.
2025/11/13 2:22:39 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"DSA, R, Python",,"YouTube, DataCamp","(DSA, YouTube), (R, YouTube),(python, DataCamp)",3,5,3,4,Yes,,I prefer learning at my own pace;Certificates help me in job or internship applications;I don't understand it from my doctor's/professor's explanation,YouTube ,The student's percent of focus during a live session (uni) vs. a recorded one(non-uni) is a major factor that affects his/her judgement for the course effectiveness. A proposition that focus to gain the max knowledge during live course  is less than during a recorded one. 
2025/11/13 3:09:18 PM GMT+2,Data Science,Masters,LU,Yes,,,,,,,,,"YouTube, Coursera","Khan academy, chatgpt ,coursera",2,3,3,3,Yes,,University courses are too theoretical;I prefer learning at my own pace,The ones i mentioned above,
2025/11/13 3:24:06 PM GMT+2,Other,Undergraduate,Jinan university ,No,I trust professors/university content more than online sources,4,3,4,To review topics they didn’t fully understand,,,,,,,,,,,,,,
2025/11/13 3:40:32 PM GMT+2,Data Science,Masters,LU,Yes,,,,,,,,,YouTube,"all courses, youtube",1,3,3,3,Yes,,University courses are too theoretical;I prefer learning at my own pace;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills,youtube channels: crashcourse - jbstatistics - Corey Schafer - Keith Galli - Programming with Mosh,
2025/11/13 3:52:22 PM GMT+2,Data Science,Masters,LU,Yes,,,,,,,"Data Science, Data Analysis",,"DataCamp, Coursera","([Data Science, Data Analysis], [DataCamp]) same for Coursera",3,5,5,4,Yes,,Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills,DataCamp,"Overall it over a lot of up to date practical experience, case study scenarios and projects both guided and unguided"
2025/11/13 3:57:34 PM GMT+2,Data Science,Masters,AUB,Yes,,,,,,,,,DataCamp,MOODLE/ DATACAMP,4,5,3,5,Yes,,I prefer learning at my own pace;Online content is more up-to-date or easier to understand;I work or have time constraints and cannot always attend classes,COURSERA/DATACAMP/YOUTUBE,ALLAH Y2AWEEKON
2025/11/13 4:13:45 PM GMT+2,Data Science,Masters,LU,Yes,,,,,,,Python,,IBM,"Python 101, IBM ",4,5,4,4,Yes,,University courses are too theoretical;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills;Certificates help me in job or internship applications,IBM Congitive class.ai,
2025/11/13 4:37:07 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,OOP,,Zaker,Zaker oop,1,3,2,2,Yes,,Online content is more up-to-date or easier to understand;I don't understand it from my doctor's/professor's explanation,Zaker.ai,
2025/11/13 4:39:35 PM GMT+2,Data Science,Graduate,LU,Yes,,,,,,,,,YouTube,Youtube,3,1,2,2,Yes,,University courses are too theoretical;Online content is more up-to-date or easier to understand,Youtube,
2025/11/13 4:41:00 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,,,"W3School, Coursera ","W3school , coursera ",3,5,3,3,No,Lack of time / busy schedule;Losing motivation or interest;No structure or deadlines to keep me on track;Course content did not meet my expectations / not useful;Course was boring or not engaging,I prefer learning at my own pace;Certificates help me in job or internship applications,Alex the analyst YouTube ,
2025/11/13 4:42:33 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"DSA, C++",,YouTube,Youtube i used it fir learning data structure and c++ ,3,3,3,3,No,Losing motivation or interest;Course difficulty or unclear explanations;Course was boring or not engaging,University courses are too theoretical;Certificates help me in job or internship applications,I don’t recommend youtube ,.
2025/11/13 4:42:51 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Linear Algebra,,YouTube,Linear algebra - youtube  ,3,3,1,3,Yes,,Online content is more up-to-date or easier to understand,YouTube ,
2025/11/13 4:42:58 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,,,"Coursera, Udemy","Chatgpt, NotebookLM, books related to the course, Coursera, Udemy",3,4,4,4,Yes,,University courses are too theoretical;I prefer learning at my own pace;Online platforms offer practical projects and hands-on skills;Certificates help me in job or internship applications,"Coursera, Udemy",
2025/11/13 4:43:01 PM GMT+2,Data Science,Graduate,LU,No,Lectures already cover the material well.,1,3,2,To review topics they didn’t fully understand;To learn at their own pace,,,,,,,,,,,,,,
2025/11/13 4:43:11 PM GMT+2,Data Science,Undergraduate,LU,No,I prefer structured learning with a fixed schedule,2,2,2,To review topics they didn’t fully understand;For practical examples or exercises;For up-to-date content;To get certificates for jobs or internships;To clarify confusing lectures,,,,,,,,,,,,,,
